,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_beta_insula|participant_id_mu,-0.012,0.266,-0.468,0.536,0.04,0.029,43.0,93.0,1.01
v_1|participant_id[62413],-0.964,0.226,-1.381,-0.507,0.037,0.026,38.0,82.0,1.05
v_1|participant_id[62423],0.067,0.22,-0.368,0.47,0.034,0.024,44.0,90.0,1.07
v_1|participant_id[62433],0.925,0.315,0.373,1.555,0.046,0.034,48.0,92.0,1.03
v_1|participant_id[62443],-0.481,0.25,-0.904,-0.045,0.096,0.071,7.0,37.0,1.22
"z_switch_condition_num|participant_id_offset[2.0, 42013]",-2.336,0.268,-2.905,-1.856,0.026,0.019,105.0,165.0,1.02
"z_switch_condition_num|participant_id_offset[2.0, 42023]",-1.194,0.222,-1.579,-0.789,0.034,0.027,40.0,129.0,1.06
"z_switch_condition_num|participant_id_offset[2.0, 42033]",-0.928,0.236,-1.322,-0.414,0.03,0.022,63.0,78.0,1.04
"z_switch_condition_num|participant_id_offset[2.0, 42043]",-1.129,0.237,-1.641,-0.756,0.045,0.032,30.0,61.0,1.13
"z_switch_condition_num|participant_id_offset[2.0, 42053]",-0.825,0.237,-1.274,-0.379,0.043,0.032,32.0,62.0,1.05
"z_switch_condition_num|participant_id_offset[2.0, 42063]",-0.659,0.213,-1.014,-0.214,0.029,0.02,57.0,68.0,1.02
"z_switch_condition_num|participant_id_offset[2.0, 42073]",-1.012,0.248,-1.428,-0.463,0.049,0.035,27.0,37.0,1.08
"z_switch_condition_num|participant_id_offset[2.0, 42083]",-0.964,0.227,-1.428,-0.587,0.036,0.025,40.0,114.0,1.03
"z_switch_condition_num|participant_id_offset[2.0, 42103]",-0.477,0.211,-0.897,-0.108,0.034,0.028,40.0,42.0,1.07
"z_switch_condition_num|participant_id_offset[2.0, 42123]",-0.965,0.239,-1.404,-0.433,0.034,0.025,52.0,49.0,1.05
"z_switch_condition_num|participant_id_offset[2.0, 42133]",-0.844,0.207,-1.253,-0.494,0.034,0.025,37.0,171.0,1.04
"z_switch_condition_num|participant_id_offset[2.0, 42143]",-1.067,0.292,-1.627,-0.482,0.053,0.04,34.0,38.0,1.1
"z_switch_condition_num|participant_id_offset[2.0, 42153]",-0.409,0.19,-0.733,-0.058,0.048,0.04,16.0,142.0,1.12
"z_switch_condition_num|participant_id_offset[2.0, 42163]",0.068,0.156,-0.162,0.406,0.037,0.03,18.0,20.0,1.09
"z_switch_condition_num|participant_id_offset[2.0, 42173]",-0.533,0.214,-0.946,-0.137,0.051,0.039,17.0,29.0,1.12
"z_switch_condition_num|participant_id_offset[2.0, 42183]",-0.68,0.201,-1.021,-0.304,0.034,0.024,37.0,116.0,1.03
"z_switch_condition_num|participant_id_offset[2.0, 42203]",-0.206,0.168,-0.533,0.062,0.024,0.018,48.0,86.0,1.02
"z_switch_condition_num|participant_id_offset[2.0, 42213]",-0.301,0.2,-0.663,0.067,0.038,0.029,29.0,19.0,1.08
"z_switch_condition_num|participant_id_offset[2.0, 42233]",-1.228,0.242,-1.681,-0.845,0.036,0.025,49.0,170.0,1.04
"z_switch_condition_num|participant_id_offset[2.0, 42253]",-1.432,0.264,-1.877,-0.92,0.067,0.048,16.0,145.0,1.1
"z_switch_condition_num|participant_id_offset[2.0, 42263]",-1.844,0.267,-2.264,-1.348,0.063,0.046,18.0,181.0,1.09
"z_switch_condition_num|participant_id_offset[2.0, 42273]",-0.919,0.255,-1.466,-0.55,0.052,0.039,26.0,51.0,1.06
"z_switch_condition_num|participant_id_offset[2.0, 42283]",-1.629,0.238,-2.046,-1.152,0.026,0.018,87.0,176.0,1.03
"z_switch_condition_num|participant_id_offset[2.0, 42293]",-0.744,0.24,-1.191,-0.314,0.038,0.027,40.0,97.0,1.02
"z_switch_condition_num|participant_id_offset[2.0, 42303]",-0.973,0.286,-1.459,-0.429,0.051,0.037,32.0,108.0,1.03
"z_switch_condition_num|participant_id_offset[2.0, 42313]",-1.064,0.239,-1.511,-0.664,0.04,0.029,37.0,117.0,1.01
"z_switch_condition_num|participant_id_offset[2.0, 42323]",-0.355,0.186,-0.684,0.012,0.034,0.024,30.0,69.0,1.08
"z_switch_condition_num|participant_id_offset[2.0, 42343]",-0.521,0.252,-1.005,-0.073,0.041,0.029,36.0,68.0,1.05
"z_switch_condition_num|participant_id_offset[2.0, 42353]",-1.351,0.231,-1.782,-0.911,0.028,0.02,71.0,156.0,1.03
"z_switch_condition_num|participant_id_offset[2.0, 42363]",-1.011,0.221,-1.428,-0.581,0.025,0.018,76.0,201.0,1.02
"z_switch_condition_num|participant_id_offset[2.0, 42373]",-0.359,0.207,-0.778,0.003,0.049,0.035,17.0,26.0,1.13
"z_switch_condition_num|participant_id_offset[2.0, 42383]",-1.135,0.225,-1.513,-0.707,0.039,0.028,36.0,86.0,1.06
"z_switch_condition_num|participant_id_offset[2.0, 42393]",-0.203,0.179,-0.532,0.087,0.036,0.026,25.0,168.0,1.07
"z_switch_condition_num|participant_id_offset[2.0, 42403]",-0.989,0.208,-1.359,-0.606,0.035,0.025,37.0,53.0,1.05
"z_switch_condition_num|participant_id_offset[2.0, 42413]",-0.712,0.211,-1.078,-0.318,0.04,0.031,34.0,169.0,1.08
"z_switch_condition_num|participant_id_offset[2.0, 42423]",-0.613,0.188,-0.967,-0.287,0.024,0.018,60.0,143.0,1.06
"z_switch_condition_num|participant_id_offset[2.0, 62013]",-0.682,0.24,-1.098,-0.205,0.043,0.035,30.0,39.0,1.1
