,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_beta_insula|participant_id_mu,-0.012,0.266,-0.468,0.536,0.04,0.029,43.0,93.0,1.01
z_beta_insula|participant_id[42163],0.001,0.007,-0.012,0.016,0.002,0.001,24.0,28.0,1.08
z_beta_insula|participant_id[42173],-0.005,0.006,-0.02,0.005,0.001,0.001,33.0,33.0,1.09
z_beta_insula|participant_id[42183],0.004,0.006,-0.008,0.017,0.002,0.001,11.0,32.0,1.17
z_beta_insula|participant_id[42203],-0.009,0.008,-0.027,0.001,0.002,0.001,25.0,79.0,1.06
z_beta_insula|participant_id[42213],-0.001,0.01,-0.019,0.017,0.003,0.002,10.0,69.0,1.15
z_beta_insula|participant_id[42233],-0.004,0.008,-0.018,0.01,0.002,0.001,25.0,90.0,1.06
z_beta_insula|participant_id[42253],-0.004,0.008,-0.017,0.014,0.003,0.003,5.0,46.0,1.31
z_beta_insula|participant_id[42263],-0.002,0.008,-0.016,0.014,0.002,0.001,22.0,55.0,1.05
z_beta_insula|participant_id[42273],0.001,0.011,-0.019,0.019,0.002,0.002,23.0,41.0,1.07
z_beta_insula|participant_id[42283],-0.001,0.007,-0.014,0.013,0.001,0.001,35.0,56.0,1.05
z_beta_insula|participant_id[42293],-0.004,0.008,-0.019,0.01,0.002,0.002,21.0,50.0,1.09
z_beta_insula|participant_id[42303],-0.006,0.007,-0.02,0.006,0.002,0.001,22.0,82.0,1.06
z_beta_insula|participant_id[42313],0.004,0.007,-0.009,0.018,0.001,0.001,33.0,80.0,1.05
z_beta_insula|participant_id[42323],0.005,0.008,-0.009,0.02,0.001,0.001,36.0,106.0,1.14
z_beta_insula|participant_id[42343],-0.008,0.008,-0.022,0.008,0.001,0.001,46.0,50.0,1.07
z_beta_insula|participant_id[42353],-0.009,0.009,-0.027,0.003,0.002,0.001,32.0,42.0,1.07
z_beta_insula|participant_id[42363],0.002,0.007,-0.01,0.017,0.001,0.001,27.0,74.0,1.05
z_beta_insula|participant_id[42373],0.002,0.009,-0.016,0.017,0.002,0.001,28.0,49.0,1.02
z_beta_insula|participant_id[42383],-0.011,0.008,-0.026,0.003,0.002,0.001,25.0,94.0,1.07
z_beta_insula|participant_id[42393],-0.011,0.009,-0.026,0.006,0.003,0.003,7.0,94.0,1.2
z_beta_insula|participant_id[42403],-0.01,0.007,-0.024,0.002,0.001,0.001,27.0,119.0,1.07
z_beta_insula|participant_id[42413],0.001,0.008,-0.014,0.014,0.003,0.002,7.0,98.0,1.22
z_beta_insula|participant_id[42423],0.001,0.008,-0.013,0.014,0.001,0.001,34.0,106.0,1.06
z_beta_insula|participant_id[62013],-0.005,0.009,-0.023,0.011,0.001,0.001,41.0,55.0,1.06
z_beta_insula|participant_id[62023],-0.013,0.008,-0.029,0.001,0.003,0.002,8.0,49.0,1.21
z_beta_insula|participant_id[62043],0.004,0.008,-0.009,0.018,0.003,0.003,6.0,58.0,1.29
z_beta_insula|participant_id[62063],0.0,0.007,-0.014,0.014,0.001,0.001,37.0,123.0,1.03
z_beta_insula|participant_id[62073],-0.004,0.008,-0.017,0.01,0.002,0.001,15.0,46.0,1.11
z_beta_insula|participant_id[62093],-0.005,0.007,-0.018,0.012,0.001,0.001,34.0,40.0,1.11
z_beta_insula|participant_id[62103],-0.001,0.007,-0.013,0.014,0.001,0.001,52.0,52.0,1.09
z_beta_insula|participant_id[62113],-0.011,0.009,-0.025,0.006,0.002,0.002,16.0,17.0,1.1
z_beta_insula|participant_id[62123],-0.007,0.008,-0.023,0.006,0.003,0.002,7.0,64.0,1.23
z_beta_insula|participant_id[62133],-0.002,0.007,-0.017,0.013,0.002,0.002,11.0,67.0,1.13
z_beta_insula|participant_id[62143],-0.001,0.008,-0.016,0.014,0.001,0.001,33.0,58.0,1.07
z_beta_insula|participant_id[62153],-0.01,0.007,-0.022,0.005,0.002,0.001,13.0,37.0,1.11
z_beta_insula|participant_id[62163],-0.012,0.009,-0.029,0.003,0.002,0.002,15.0,33.0,1.1
z_beta_insula|participant_id[62173],0.012,0.009,-0.003,0.027,0.002,0.001,28.0,179.0,1.08
z_beta_insula|participant_id[62193],-0.002,0.008,-0.017,0.016,0.003,0.002,11.0,31.0,1.14
z_beta_insula|participant_id[62213],-0.002,0.007,-0.014,0.012,0.001,0.001,40.0,91.0,1.05
z_beta_insula|participant_id[62233],-0.005,0.007,-0.018,0.01,0.001,0.001,23.0,53.0,1.05
z_beta_insula|participant_id[62253],-0.005,0.009,-0.022,0.011,0.002,0.001,27.0,102.0,1.08
z_beta_insula|participant_id[62263],0.006,0.008,-0.006,0.02,0.002,0.002,11.0,71.0,1.14
z_beta_insula|participant_id[62273],0.002,0.009,-0.013,0.019,0.003,0.002,8.0,94.0,1.22
z_beta_insula|participant_id[62283],-0.002,0.006,-0.015,0.008,0.001,0.001,36.0,38.0,1.16
z_beta_insula|participant_id[62293],-0.007,0.009,-0.021,0.008,0.002,0.001,23.0,98.0,1.04
z_beta_insula|participant_id[62303],-0.004,0.009,-0.021,0.013,0.003,0.002,11.0,62.0,1.16
z_beta_insula|participant_id[62313],-0.01,0.009,-0.025,0.007,0.002,0.001,26.0,102.0,1.08
z_beta_insula|participant_id[62323],-0.007,0.007,-0.02,0.005,0.001,0.001,31.0,106.0,1.08
z_beta_insula|participant_id[62333],-0.004,0.009,-0.021,0.009,0.002,0.001,26.0,39.0,1.07
z_beta_insula|participant_id[62343],-0.0,0.009,-0.016,0.015,0.002,0.002,16.0,82.0,1.11
z_beta_insula|participant_id[62363],0.002,0.007,-0.01,0.016,0.001,0.001,65.0,99.0,1.04
z_beta_insula|participant_id[62373],0.004,0.009,-0.016,0.02,0.002,0.001,26.0,18.0,1.08
z_beta_insula|participant_id[62393],-0.005,0.008,-0.017,0.013,0.002,0.001,15.0,38.0,1.11
z_beta_insula|participant_id[62403],-0.013,0.009,-0.031,0.002,0.001,0.001,42.0,139.0,1.05
z_beta_insula|participant_id[62413],-0.005,0.01,-0.024,0.013,0.003,0.002,10.0,59.0,1.15
z_beta_insula|participant_id[62423],-0.009,0.009,-0.028,0.004,0.004,0.003,4.0,23.0,1.41
z_beta_insula|participant_id[62433],-0.011,0.008,-0.026,0.005,0.004,0.003,5.0,26.0,1.36
z_beta_insula|participant_id[62443],0.003,0.008,-0.011,0.02,0.002,0.002,29.0,34.0,1.1
v_1|participant_id_offset[42013],-0.619,0.341,-1.19,0.045,0.06,0.043,32.0,49.0,1.04
v_1|participant_id_offset[42023],1.375,0.468,0.33,2.263,0.09,0.064,28.0,32.0,1.08
v_1|participant_id_offset[42033],-0.619,0.361,-1.272,0.087,0.065,0.047,30.0,83.0,1.07
v_1|participant_id_offset[42043],0.193,0.361,-0.492,0.821,0.055,0.039,44.0,66.0,1.06
v_1|participant_id_offset[42053],2.06,0.583,0.979,3.159,0.139,0.1,18.0,49.0,1.09
v_1|participant_id_offset[42063],-0.894,0.377,-1.695,-0.214,0.085,0.061,19.0,24.0,1.15
v_1|participant_id_offset[42073],1.792,0.397,1.053,2.555,0.079,0.057,25.0,160.0,1.08
v_1|participant_id_offset[42083],-0.771,0.457,-1.534,0.08,0.178,0.148,7.0,23.0,1.22
v_1|participant_id_offset[42103],0.821,0.388,0.173,1.507,0.155,0.115,7.0,77.0,1.24
v_1|participant_id_offset[42123],0.375,0.502,-0.598,1.254,0.103,0.079,24.0,34.0,1.06
v_1|participant_id_offset[42133],1.007,0.471,0.153,1.995,0.09,0.065,30.0,37.0,1.06
v_1|participant_id_offset[42143],-0.801,0.422,-1.509,0.274,0.122,0.088,12.0,32.0,1.14
v_1|participant_id_offset[42153],0.618,0.558,-0.327,1.742,0.196,0.148,8.0,39.0,1.2
v_1|participant_id_offset[42163],1.844,0.5,0.92,2.705,0.088,0.063,34.0,60.0,1.03
v_1|participant_id_offset[42173],-0.729,0.346,-1.461,-0.185,0.125,0.097,9.0,14.0,1.17
v_1|participant_id_offset[42183],2.105,0.6,1.102,3.261,0.134,0.096,21.0,46.0,1.02
v_1|participant_id_offset[42203],-1.511,0.493,-2.472,-0.612,0.215,0.167,5.0,18.0,1.37
v_1|participant_id_offset[42213],-0.262,0.336,-0.808,0.323,0.061,0.043,29.0,43.0,1.05
v_1|participant_id_offset[42233],-0.03,0.336,-0.736,0.503,0.066,0.047,27.0,73.0,1.07
v_1|participant_id_offset[42253],0.81,0.401,0.172,1.538,0.143,0.105,8.0,66.0,1.21
v_1|participant_id_offset[42263],-1.738,0.328,-2.324,-1.17,0.155,0.123,5.0,77.0,1.4
v_1|participant_id_offset[42273],0.211,0.428,-0.59,0.956,0.142,0.104,10.0,23.0,1.15
v_1|participant_id_offset[42283],-0.162,0.423,-1.063,0.532,0.092,0.118,23.0,41.0,1.13
v_1|participant_id_offset[42293],-0.815,0.335,-1.427,-0.194,0.071,0.051,23.0,74.0,1.07
v_1|participant_id_offset[42303],-1.018,0.458,-1.914,-0.313,0.171,0.127,7.0,39.0,1.24
v_1|participant_id_offset[42313],0.793,0.418,0.131,1.566,0.103,0.074,17.0,55.0,1.08
v_1|participant_id_offset[42323],0.728,0.506,-0.201,1.564,0.169,0.133,9.0,36.0,1.21
v_1|participant_id_offset[42343],0.06,0.354,-0.621,0.775,0.056,0.052,35.0,84.0,1.08
v_1|participant_id_offset[42353],-0.251,0.37,-0.963,0.408,0.084,0.063,21.0,37.0,1.09
v_1|participant_id_offset[42363],-0.691,0.326,-1.341,-0.149,0.046,0.033,51.0,94.0,1.07
v_1|participant_id_offset[42373],-0.635,0.298,-1.103,-0.091,0.046,0.033,43.0,94.0,1.02
v_1|participant_id_offset[42383],0.49,0.36,-0.128,1.075,0.075,0.054,24.0,83.0,1.04
v_1|participant_id_offset[42393],-1.775,0.361,-2.373,-1.024,0.069,0.049,28.0,36.0,1.05
v_1|participant_id_offset[42403],0.136,0.521,-0.922,0.957,0.12,0.086,19.0,72.0,1.11
v_1|participant_id_offset[42413],1.068,0.473,0.39,2.108,0.121,0.104,21.0,27.0,1.17
v_1|participant_id_offset[42423],1.027,0.443,0.195,1.791,0.131,0.095,12.0,123.0,1.13
v_1|participant_id_offset[62013],0.007,0.371,-0.666,0.815,0.071,0.051,28.0,26.0,1.09
v_1|participant_id_offset[62023],-0.622,0.448,-1.389,0.213,0.084,0.06,30.0,75.0,1.1
v_1|participant_id_offset[62043],0.231,0.404,-0.513,0.941,0.076,0.054,30.0,75.0,1.07
v_1|participant_id_offset[62063],-1.099,0.378,-1.821,-0.376,0.101,0.073,13.0,17.0,1.13
v_1|participant_id_offset[62073],-1.695,0.344,-2.291,-1.03,0.07,0.051,25.0,63.0,1.08
v_1|participant_id_offset[62093],1.617,0.497,0.763,2.558,0.084,0.062,36.0,62.0,1.06
v_1|participant_id_offset[62103],0.49,0.638,-0.804,1.674,0.132,0.095,24.0,37.0,1.07
v_1|participant_id_offset[62113],-0.99,0.385,-1.636,-0.228,0.092,0.066,18.0,95.0,1.09
v_1|participant_id_offset[62123],-0.574,0.308,-1.066,0.13,0.064,0.05,21.0,51.0,1.09
v_1|participant_id_offset[62133],1.049,0.406,0.292,1.872,0.109,0.085,18.0,27.0,1.15
v_1|participant_id_offset[62143],-0.383,0.439,-1.089,0.526,0.204,0.154,5.0,34.0,1.38
v_1|participant_id_offset[62153],0.964,0.379,0.179,1.565,0.06,0.043,40.0,62.0,1.04
v_1|participant_id_offset[62163],0.374,0.398,-0.429,1.1,0.075,0.058,35.0,26.0,1.08
v_1|participant_id_offset[62173],0.956,0.513,0.119,1.86,0.131,0.101,16.0,61.0,1.12
v_1|participant_id_offset[62193],-0.389,0.4,-1.148,0.44,0.09,0.065,20.0,43.0,1.1
v_1|participant_id_offset[62213],-0.701,0.38,-1.402,0.001,0.073,0.052,27.0,89.0,1.06
v_1|participant_id_offset[62233],-1.387,0.342,-1.923,-0.614,0.092,0.066,15.0,40.0,1.13
v_1|participant_id_offset[62253],0.169,0.297,-0.425,0.626,0.043,0.031,49.0,78.0,1.04
v_1|participant_id_offset[62263],-0.42,0.353,-1.056,0.19,0.065,0.047,30.0,31.0,1.04
v_1|participant_id_offset[62273],-0.633,0.341,-1.258,-0.016,0.063,0.045,31.0,36.0,1.06
v_1|participant_id_offset[62283],1.195,0.532,0.197,2.091,0.242,0.182,5.0,27.0,1.39
v_1|participant_id_offset[62293],-0.677,0.345,-1.299,-0.129,0.093,0.067,17.0,28.0,1.12
v_1|participant_id_offset[62303],-1.092,0.302,-1.743,-0.597,0.057,0.041,28.0,67.0,1.08
v_1|participant_id_offset[62313],0.418,0.41,-0.42,1.192,0.078,0.055,29.0,39.0,1.05
v_1|participant_id_offset[62323],0.723,0.439,-0.139,1.517,0.087,0.067,27.0,37.0,1.07
v_1|participant_id_offset[62333],-0.669,0.322,-1.273,0.017,0.056,0.04,33.0,65.0,1.03
v_1|participant_id_offset[62343],-0.352,0.276,-0.906,0.094,0.04,0.028,49.0,94.0,1.03
v_1|participant_id_offset[62363],0.053,0.397,-0.714,0.718,0.121,0.088,11.0,31.0,1.16
v_1|participant_id_offset[62373],-1.772,0.376,-2.497,-1.101,0.182,0.14,5.0,29.0,1.37
v_1|participant_id_offset[62393],-0.664,0.362,-1.335,-0.071,0.086,0.069,22.0,42.0,1.11
v_1|participant_id_offset[62403],0.129,0.297,-0.484,0.659,0.048,0.034,39.0,66.0,1.05
v_1|participant_id_offset[62413],-1.379,0.364,-2.04,-0.62,0.107,0.078,11.0,67.0,1.15
v_1|participant_id_offset[62423],0.104,0.313,-0.47,0.717,0.047,0.033,46.0,138.0,1.08
v_1|participant_id_offset[62433],1.325,0.477,0.487,2.166,0.073,0.052,43.0,83.0,1.02
v_1|participant_id_offset[62443],-0.67,0.351,-1.235,0.025,0.127,0.093,8.0,38.0,1.22
z_beta_insula|participant_id_sigma,0.01,0.003,0.005,0.015,0.001,0.001,10.0,25.0,1.17
"z_switch_condition_num|participant_id[2.0, 42013]",-0.528,0.058,-0.634,-0.419,0.008,0.006,59.0,206.0,1.01
"z_switch_condition_num|participant_id[2.0, 42023]",-0.27,0.05,-0.367,-0.188,0.007,0.005,50.0,129.0,1.03
"z_switch_condition_num|participant_id[2.0, 42033]",-0.209,0.051,-0.297,-0.103,0.005,0.004,89.0,78.0,1.01
"z_switch_condition_num|participant_id[2.0, 42043]",-0.255,0.051,-0.344,-0.158,0.008,0.006,39.0,110.0,1.09
"z_switch_condition_num|participant_id[2.0, 42053]",-0.185,0.048,-0.271,-0.087,0.007,0.005,52.0,103.0,1.03
"z_switch_condition_num|participant_id[2.0, 42063]",-0.149,0.047,-0.226,-0.047,0.006,0.005,56.0,66.0,1.04
"z_switch_condition_num|participant_id[2.0, 42073]",-0.228,0.053,-0.319,-0.115,0.01,0.007,29.0,41.0,1.08
"z_switch_condition_num|participant_id[2.0, 42083]",-0.218,0.052,-0.32,-0.128,0.008,0.006,43.0,160.0,1.01
"z_switch_condition_num|participant_id[2.0, 42103]",-0.107,0.045,-0.192,-0.024,0.006,0.004,57.0,83.0,1.05
"z_switch_condition_num|participant_id[2.0, 42123]",-0.217,0.052,-0.317,-0.115,0.007,0.005,55.0,77.0,1.05
"z_switch_condition_num|participant_id[2.0, 42133]",-0.19,0.042,-0.27,-0.111,0.005,0.004,59.0,182.0,1.01
"z_switch_condition_num|participant_id[2.0, 42143]",-0.24,0.059,-0.355,-0.124,0.008,0.006,49.0,64.0,1.05
"z_switch_condition_num|participant_id[2.0, 42153]",-0.092,0.042,-0.164,-0.013,0.007,0.006,37.0,150.0,1.08
"z_switch_condition_num|participant_id[2.0, 42163]",0.016,0.035,-0.036,0.09,0.008,0.007,18.0,18.0,1.08
"z_switch_condition_num|participant_id[2.0, 42173]",-0.12,0.046,-0.207,-0.029,0.009,0.007,24.0,30.0,1.08
"z_switch_condition_num|participant_id[2.0, 42183]",-0.154,0.046,-0.23,-0.065,0.008,0.005,38.0,82.0,1.05
"z_switch_condition_num|participant_id[2.0, 42203]",-0.047,0.039,-0.124,0.018,0.006,0.004,45.0,53.0,1.03
"z_switch_condition_num|participant_id[2.0, 42213]",-0.068,0.047,-0.166,0.009,0.009,0.007,28.0,15.0,1.1
"z_switch_condition_num|participant_id[2.0, 42233]",-0.277,0.054,-0.375,-0.179,0.008,0.006,45.0,56.0,1.06
"z_switch_condition_num|participant_id[2.0, 42253]",-0.322,0.052,-0.423,-0.228,0.008,0.006,40.0,131.0,1.06
"z_switch_condition_num|participant_id[2.0, 42263]",-0.416,0.05,-0.508,-0.324,0.006,0.004,81.0,141.0,1.06
"z_switch_condition_num|participant_id[2.0, 42273]",-0.207,0.054,-0.318,-0.124,0.009,0.006,38.0,29.0,1.03
"z_switch_condition_num|participant_id[2.0, 42283]",-0.368,0.052,-0.46,-0.264,0.008,0.005,60.0,136.0,1.06
"z_switch_condition_num|participant_id[2.0, 42293]",-0.168,0.054,-0.26,-0.058,0.009,0.006,36.0,125.0,1.04
"z_switch_condition_num|participant_id[2.0, 42303]",-0.218,0.059,-0.328,-0.12,0.01,0.008,33.0,115.0,1.05
"z_switch_condition_num|participant_id[2.0, 42313]",-0.239,0.048,-0.326,-0.153,0.007,0.005,53.0,168.0,1.01
"z_switch_condition_num|participant_id[2.0, 42323]",-0.08,0.042,-0.155,-0.002,0.009,0.007,19.0,77.0,1.1
"z_switch_condition_num|participant_id[2.0, 42343]",-0.117,0.056,-0.235,-0.033,0.009,0.006,40.0,70.0,1.04
"z_switch_condition_num|participant_id[2.0, 42353]",-0.305,0.051,-0.417,-0.218,0.005,0.003,117.0,165.0,1.01
"z_switch_condition_num|participant_id[2.0, 42363]",-0.228,0.047,-0.311,-0.131,0.005,0.003,94.0,198.0,1.02
"z_switch_condition_num|participant_id[2.0, 42373]",-0.081,0.047,-0.17,0.012,0.01,0.007,19.0,26.0,1.12
"z_switch_condition_num|participant_id[2.0, 42383]",-0.257,0.052,-0.338,-0.162,0.016,0.012,12.0,98.0,1.13
"z_switch_condition_num|participant_id[2.0, 42393]",-0.046,0.041,-0.126,0.017,0.008,0.006,25.0,111.0,1.07
"z_switch_condition_num|participant_id[2.0, 42403]",-0.223,0.043,-0.304,-0.14,0.005,0.004,74.0,65.0,1.03
"z_switch_condition_num|participant_id[2.0, 42413]",-0.161,0.047,-0.247,-0.07,0.006,0.005,74.0,176.0,1.07
"z_switch_condition_num|participant_id[2.0, 42423]",-0.138,0.041,-0.22,-0.067,0.004,0.003,86.0,147.0,1.04
"z_switch_condition_num|participant_id[2.0, 62013]",-0.154,0.055,-0.257,-0.05,0.009,0.006,40.0,48.0,1.06
"z_switch_condition_num|participant_id[2.0, 62023]",0.178,0.043,0.101,0.257,0.005,0.004,67.0,175.0,1.01
"z_switch_condition_num|participant_id[2.0, 62043]",-0.124,0.045,-0.219,-0.037,0.007,0.005,44.0,38.0,1.02
"z_switch_condition_num|participant_id[2.0, 62063]",-0.222,0.064,-0.322,-0.083,0.013,0.009,30.0,48.0,1.07
"z_switch_condition_num|participant_id[2.0, 62073]",0.177,0.05,0.083,0.264,0.007,0.005,47.0,169.0,1.05
"z_switch_condition_num|participant_id[2.0, 62093]",-0.212,0.053,-0.32,-0.119,0.008,0.006,44.0,61.0,1.08
"z_switch_condition_num|participant_id[2.0, 62103]",-0.235,0.078,-0.405,-0.114,0.013,0.01,41.0,56.0,1.06
"z_switch_condition_num|participant_id[2.0, 62113]",-0.282,0.045,-0.364,-0.194,0.004,0.003,105.0,233.0,1.03
"z_switch_condition_num|participant_id[2.0, 62123]",-0.039,0.065,-0.167,0.061,0.012,0.009,30.0,91.0,1.06
"z_switch_condition_num|participant_id[2.0, 62133]",-0.169,0.051,-0.273,-0.081,0.007,0.005,64.0,100.0,1.04
"z_switch_condition_num|participant_id[2.0, 62143]",-0.156,0.055,-0.268,-0.054,0.016,0.011,13.0,39.0,1.17
"z_switch_condition_num|participant_id[2.0, 62153]",-0.222,0.057,-0.334,-0.12,0.007,0.005,58.0,77.0,1.03
"z_switch_condition_num|participant_id[2.0, 62163]",-0.121,0.057,-0.212,0.009,0.011,0.008,26.0,75.0,1.07
"z_switch_condition_num|participant_id[2.0, 62173]",-0.233,0.054,-0.332,-0.134,0.007,0.005,66.0,184.0,1.03
"z_switch_condition_num|participant_id[2.0, 62193]",-0.243,0.055,-0.362,-0.152,0.01,0.008,36.0,73.0,1.08
"z_switch_condition_num|participant_id[2.0, 62213]",-0.077,0.05,-0.15,0.04,0.015,0.011,12.0,49.0,1.17
"z_switch_condition_num|participant_id[2.0, 62233]",-0.392,0.06,-0.491,-0.272,0.007,0.005,71.0,116.0,1.03
"z_switch_condition_num|participant_id[2.0, 62253]",-0.187,0.054,-0.274,-0.08,0.007,0.005,54.0,51.0,1.06
"z_switch_condition_num|participant_id[2.0, 62263]",-0.24,0.051,-0.334,-0.142,0.006,0.004,81.0,151.0,1.03
"z_switch_condition_num|participant_id[2.0, 62273]",-0.278,0.056,-0.388,-0.177,0.008,0.005,55.0,149.0,1.03
"z_switch_condition_num|participant_id[2.0, 62283]",-0.371,0.056,-0.466,-0.254,0.007,0.005,67.0,88.0,1.03
"z_switch_condition_num|participant_id[2.0, 62293]",-0.211,0.061,-0.313,-0.088,0.009,0.006,47.0,63.0,1.03
"z_switch_condition_num|participant_id[2.0, 62303]",-0.349,0.051,-0.443,-0.252,0.005,0.004,112.0,142.0,1.03
"z_switch_condition_num|participant_id[2.0, 62313]",-0.172,0.044,-0.25,-0.083,0.005,0.003,83.0,161.0,1.02
"z_switch_condition_num|participant_id[2.0, 62323]",-0.164,0.051,-0.246,-0.066,0.014,0.011,14.0,148.0,1.11
"z_switch_condition_num|participant_id[2.0, 62333]",-0.123,0.061,-0.241,0.007,0.017,0.013,15.0,20.0,1.13
"z_switch_condition_num|participant_id[2.0, 62343]",-0.291,0.054,-0.386,-0.191,0.007,0.005,55.0,165.0,1.05
"z_switch_condition_num|participant_id[2.0, 62363]",-0.171,0.048,-0.258,-0.08,0.008,0.006,40.0,51.0,1.07
"z_switch_condition_num|participant_id[2.0, 62373]",-0.186,0.064,-0.297,-0.062,0.008,0.006,61.0,22.0,1.04
"z_switch_condition_num|participant_id[2.0, 62393]",-0.192,0.055,-0.294,-0.093,0.01,0.007,31.0,175.0,1.07
"z_switch_condition_num|participant_id[2.0, 62403]",-0.202,0.05,-0.295,-0.111,0.01,0.007,27.0,104.0,1.07
"z_switch_condition_num|participant_id[2.0, 62413]",-0.123,0.059,-0.245,-0.032,0.014,0.011,16.0,64.0,1.12
"z_switch_condition_num|participant_id[2.0, 62423]",-0.188,0.045,-0.264,-0.098,0.005,0.004,68.0,212.0,1.02
"z_switch_condition_num|participant_id[2.0, 62433]",-0.136,0.05,-0.235,-0.041,0.009,0.007,38.0,39.0,1.08
"z_switch_condition_num|participant_id[2.0, 62443]",-0.24,0.051,-0.339,-0.142,0.007,0.005,55.0,146.0,1.03
"z_switch_condition_num|participant_id[3.0, 42013]",-0.553,0.047,-0.633,-0.448,0.008,0.006,35.0,69.0,1.06
"z_switch_condition_num|participant_id[3.0, 42023]",-0.23,0.037,-0.296,-0.158,0.004,0.003,102.0,170.0,1.0
"z_switch_condition_num|participant_id[3.0, 42033]",-0.275,0.048,-0.359,-0.18,0.006,0.004,69.0,186.0,1.02
"z_switch_condition_num|participant_id[3.0, 42043]",-0.322,0.041,-0.389,-0.242,0.005,0.004,68.0,141.0,1.04
"z_switch_condition_num|participant_id[3.0, 42053]",-0.219,0.035,-0.28,-0.149,0.004,0.003,78.0,153.0,1.04
"z_switch_condition_num|participant_id[3.0, 42063]",-0.1,0.036,-0.159,-0.023,0.005,0.004,53.0,52.0,1.04
"z_switch_condition_num|participant_id[3.0, 42073]",-0.278,0.039,-0.351,-0.211,0.005,0.004,57.0,109.0,1.06
"z_switch_condition_num|participant_id[3.0, 42083]",-0.19,0.041,-0.271,-0.116,0.01,0.007,19.0,64.0,1.11
"z_switch_condition_num|participant_id[3.0, 42103]",-0.125,0.029,-0.181,-0.07,0.003,0.002,83.0,146.0,1.01
"z_switch_condition_num|participant_id[3.0, 42123]",-0.206,0.039,-0.289,-0.136,0.004,0.003,94.0,165.0,1.0
"z_switch_condition_num|participant_id[3.0, 42133]",-0.38,0.041,-0.466,-0.311,0.005,0.004,57.0,287.0,1.02
"z_switch_condition_num|participant_id[3.0, 42143]",-0.229,0.042,-0.306,-0.159,0.007,0.005,37.0,96.0,1.06
"z_switch_condition_num|participant_id[3.0, 42153]",-0.178,0.039,-0.249,-0.101,0.01,0.008,15.0,86.0,1.12
"z_switch_condition_num|participant_id[3.0, 42163]",-0.021,0.027,-0.077,0.023,0.01,0.008,7.0,19.0,1.25
"z_switch_condition_num|participant_id[3.0, 42173]",-0.206,0.041,-0.284,-0.14,0.009,0.006,25.0,114.0,1.09
"z_switch_condition_num|participant_id[3.0, 42183]",-0.287,0.044,-0.363,-0.203,0.007,0.005,40.0,123.0,1.01
"z_switch_condition_num|participant_id[3.0, 42203]",-0.034,0.032,-0.095,0.023,0.006,0.004,38.0,51.0,1.07
"z_switch_condition_num|participant_id[3.0, 42213]",-0.044,0.042,-0.115,0.034,0.012,0.009,12.0,29.0,1.16
"z_switch_condition_num|participant_id[3.0, 42233]",-0.36,0.041,-0.433,-0.281,0.004,0.003,84.0,155.0,1.02
"z_switch_condition_num|participant_id[3.0, 42253]",-0.404,0.043,-0.489,-0.32,0.004,0.003,103.0,158.0,1.01
"z_switch_condition_num|participant_id[3.0, 42263]",-0.421,0.045,-0.504,-0.34,0.006,0.004,60.0,92.0,1.04
"z_switch_condition_num|participant_id[3.0, 42273]",-0.26,0.043,-0.352,-0.188,0.005,0.003,84.0,117.0,1.04
"z_switch_condition_num|participant_id[3.0, 42283]",-0.339,0.048,-0.433,-0.25,0.009,0.007,30.0,41.0,1.06
"z_switch_condition_num|participant_id[3.0, 42293]",-0.26,0.043,-0.337,-0.185,0.006,0.004,56.0,195.0,1.04
"z_switch_condition_num|participant_id[3.0, 42303]",-0.143,0.037,-0.227,-0.079,0.006,0.004,40.0,28.0,1.03
"z_switch_condition_num|participant_id[3.0, 42313]",-0.35,0.041,-0.43,-0.279,0.004,0.003,120.0,344.0,1.02
"z_switch_condition_num|participant_id[3.0, 42323]",-0.096,0.033,-0.164,-0.04,0.004,0.003,74.0,111.0,1.01
"z_switch_condition_num|participant_id[3.0, 42343]",-0.092,0.039,-0.167,-0.02,0.008,0.006,22.0,44.0,1.1
"z_switch_condition_num|participant_id[3.0, 42353]",-0.45,0.037,-0.515,-0.38,0.003,0.002,122.0,121.0,1.04
"z_switch_condition_num|participant_id[3.0, 42363]",-0.198,0.038,-0.263,-0.123,0.009,0.007,18.0,169.0,1.12
"z_switch_condition_num|participant_id[3.0, 42373]",-0.308,0.049,-0.389,-0.199,0.006,0.005,55.0,87.0,1.02
"z_switch_condition_num|participant_id[3.0, 42383]",-0.318,0.039,-0.392,-0.246,0.004,0.003,87.0,192.0,1.02
"z_switch_condition_num|participant_id[3.0, 42393]",-0.171,0.039,-0.242,-0.102,0.005,0.004,65.0,143.0,1.01
"z_switch_condition_num|participant_id[3.0, 42403]",-0.217,0.041,-0.295,-0.141,0.007,0.005,40.0,64.0,1.02
"z_switch_condition_num|participant_id[3.0, 42413]",-0.254,0.039,-0.319,-0.183,0.004,0.003,97.0,280.0,1.02
"z_switch_condition_num|participant_id[3.0, 42423]",-0.099,0.031,-0.157,-0.037,0.003,0.002,104.0,193.0,1.03
"z_switch_condition_num|participant_id[3.0, 62013]",-0.254,0.044,-0.336,-0.177,0.006,0.004,57.0,205.0,1.01
"z_switch_condition_num|participant_id[3.0, 62023]",0.11,0.039,0.038,0.178,0.008,0.006,24.0,72.0,1.08
